id,term,translation,alt_translation,comments
8640,Рузвельт,Рузвельт,"",Прізвище
8641,Рурк,Рурк,"",Прізвище
8642,Русов,Русов,"",Прізвище
8643,Русова,Русова,"",Прізвище
8644,Русол,Русол,"",Прізвище
8645,Рустем-Паша,Рустем-Паша,"",Прізвище
8646,Руфус,Руфус,"",Прізвище
8647,Рюйтель,Рюйтель,"",Прізвище
8648,Рюрик,Рюрик,"",Прізвище
8649,Рюрикович,Рюрикович,"",Прізвище
8650,Рябов,Рябов,"",Прізвище
8651,Рябова,Рябова,"",Прізвище
8652,Рябокляч,Рябокляч,"",Прізвище
8653,Рябушинська,Рябушинская,"",Прізвище
8654,Рябченко,Рябченко,"",Прізвище
8655,Рябчук,Рябчук,"",Прізвище
8656,Рядченко,Рядченко,"",Прізвище
8657,Рязанов,Рязанов,"",Прізвище
8658,Рязанова,Рязанова,"",Прізвище
8659,Сааведра,Сааведра,"",Прізвище
8660,Саакадзе,Саакадзе,"",Прізвище
8661,Сабадаш,Сабадаш,"",Прізвище
8662,Сабодаш,Сабодаш,"",Прізвище
8663,Сабуров,Сабуров,"",Прізвище
8664,Савенко,Савенко,"",Прізвище
8665,Савин,Савин,"",Прізвище
8666,Савонарола,Савонарола,"",Прізвище
8667,Саворовська,Саворовская,"",Прізвище
8668,Саврасов,Саврасов,"",Прізвище
8669,Саврасова,Саврасова,"",Прізвище
8670,Савченко,Савченко,"",Прізвище
8671,Савчук,Савчук,"",Прізвище
8672,Сагач,Сагач,"",Прізвище
8673,Садат,Садат,"",Прізвище
8674,Садовяну,Садовяну,"",Прізвище
8675,Садуль,Садуль,"",Прізвище
8676,Сажин,Сажин,"",Прізвище
8677,Сазерленд,Сазерленд,"",Прізвище
8678,Сазоненко,Сазоненко,"",Прізвище
8679,Сазонов,Сазонов,"",Прізвище
8680,Сазонова,Сазонова,"",Прізвище
8681,Сайганов,Сайганов,"",Прізвище
8682,Сайганова,Сайганова,"",Прізвище
8683,Сайкс,Сайкс,"",Прізвище
8684,Саймак,Саймак,"",Прізвище
8685,Сакко,Сакко,"",Прізвище
8686,Саксаганська,Саксаганская,"",Прізвище
8687,Сакун,Сакун,"",Прізвище
8688,Салазар,Салазар,"",Прізвище
8689,Салданья,Салданья,"",Прізвище
8690,Саленко,Саленко,"",Прізвище
8691,Самаранч,Самаранч,"",Прізвище
8692,Самодуров,Самодуров,"",Прізвище
8693,Самодурова,Самодурова,"",Прізвище
8694,Самойленко,Самойленко,"",Прізвище
8695,Самойлов,Самойлов,"",Прізвище
8696,Самойлова,Самойлова,"",Прізвище
8697,Самойлович,Самойлович,"",Прізвище
8698,Самокиш,Самокиш,"",Прізвище
8699,Самора,Самора,"",Прізвище
8700,Самофалов,Самофалов,"",Прізвище
8701,Самофалова,Самофалова,"",Прізвище
8702,Сампайо,Сампайо,"",Прізвище
8703,Сампаю,Сампаю,"",Прізвище
8704,Сампрас,Сампрас,"",Прізвище
8705,Самсонов,Самсонов,"",Прізвище
8706,Самсонова,Самсонова,"",Прізвище
8707,Самусь,Самусь,"",Прізвище
8708,Самчук,Самчук,"",Прізвище
8709,Санадер,Санадер,"",Прізвище
8710,Сангушко,Сангушко,"",Прізвище
8711,Сандерленд,Сандерленд,"",Прізвище
8712,Сандул,Сандул,"",Прізвище
8713,Сандуляк,Сандуляк,"",Прізвище
8714,Сантана,Сантана,"",Прізвище
8715,Санташов,Санташов,"",Прізвище
8716,Санташова,Санташова,"",Прізвище
8717,Сантос,Сантос,"",Прізвище
8718,Санчес,Санчес,"",Прізвище
8719,Сапата,Сапата,"",Прізвище
8720,Сапужак,Сапужак,"",Прізвище
8721,Саранчук,Саранчук,"",Прізвище
8722,Сарасате,Сарасате,"",Прізвище
8723,Саргсян,Саргсян,"",Прізвище
8724,Сарду,Сарду,"",Прізвище
8725,Сарнецька,Сарнецкая,"",Прізвище
8726,Сароян,Сароян,"",Прізвище
8727,Сарто,Сарто,"",Прізвище
8728,Сартр,Сартр,"",Прізвище
8729,Сафаров,Сафаров,"",Прізвище
8730,Сафарова,Сафарова,"",Прізвище
8731,Сафонов,Сафонов,"",Прізвище
8732,Сафонова,Сафонова,"",Прізвище
8733,Сафронов,Сафронов,"",Прізвище
8734,Сафронова,Сафронова,"",Прізвище
8735,Сахаров,Сахаров,"",Прізвище
8736,Сахарова,Сахарова,"",Прізвище
8737,Сахно,Сахно,"",Прізвище
8738,Сацюк,Сацюк,"",Прізвище
8739,Свенсон,Свенсон,"",Прізвище
8740,Свердлов,Свердлов,"",Прізвище
8741,Свердруп,Свердруп,"",Прізвище
8742,Сверстюк,Сверстюк,"",Прізвище
8743,Сверчевська,Сверчевская,"",Прізвище
8744,Свидницька,Свидницкая,"",Прізвище
8745,Свидригайло,Свидригайло,"",Прізвище
8746,Свиридов,Свиридов,"",Прізвище
8747,Свиридова,Свиридова,"",Прізвище
8748,Свистович,Свистович,"",Прізвище
8749,Святненко,Святненко,"",Прізвище
8750,Севастьяненко,Севастьяненко,"",Прізвище
8751,Северин,Северин,"",Прізвище
8752,Севрюков,Севрюков,"",Прізвище
8753,Севрюкова,Севрюкова,"",Прізвище
8754,Седик,Седик,"",Прізвище
8755,Сезанн,Сезанн,"",Прізвище
8756,Селфридж,Селфридж,"",Прізвище
8757,Селюченко,Селюченко,"",Прізвище
8758,Семашко,Семашко,"",Прізвище
8759,Семененко,Семененко,"",Прізвище
8760,Семенов,Семенов,"",Прізвище
8761,Семенова,Семенова,"",Прізвище
8762,Семенчик,Семенчик,"",Прізвище
8763,Семеньков,Семеньков,"",Прізвище
8764,Семенькова,Семенькова,"",Прізвище
8765,Семенюк,Семенюк,"",Прізвище
8766,Семеренко,Семеренко,"",Прізвище
8767,Семиволос,Семиволос,"",Прізвище
8768,Семинога,Семинога,"",Прізвище
8769,Семиноженко,Семиноженко,"",Прізвище
8770,Семко,Семко,"",Прізвище
8771,Семчик,Семчик,"",Прізвище
8772,Семчишин,Семчишин,"",Прізвище
8773,Сен-Жюст,Сен-Жюст,"",Прізвище
8774,Сен-Лоран,Сен-Лоран,"",Прізвище
8775,Сен-Санс,Сен-Санс,"",Прізвище
8776,Сен-Симон,Сен-Симон,"",Прізвище
8777,Сенгор,Сенгор,"",Прізвище
8778,Сендак,Сендак,"",Прізвище
8779,Сендега,Сендега,"",Прізвище
8780,Сененко,Сененко,"",Прізвище
8781,Сеник,Сеник,"",Прізвище
8782,Сенкевич,Сенкевич,"",Прізвище
8783,Сенн,Сенн,"",Прізвище
8784,Сент-Арно,Сент-Арно,"",Прізвище
8785,Сент-Бев,Сент-Бев,"",Прізвище
8786,Сент-Бева,Сент-Бева,"",Прізвище
8787,Сенченко,Сенченко,"",Прізвище
8788,Сенчук,Сенчук,"",Прізвище
8789,Сень,Сень,"",Прізвище
8790,Сепульведа,Сепульведа,"",Прізвище
8791,Серафимович,Серафимович,"",Прізвище
8792,Сербенський,Сербенский,"",Прізвище
8793,Сервантес,Сервантес,"",Прізвище
8794,Серебренников,Серебренников,"",Прізвище
8795,Серебренникова,Серебренникова,"",Прізвище
8796,Серебровська,Серебровская,"",Прізвище
8797,Серебряков,Серебряков,"",Прізвище
8798,Серебрякова,Серебрякова,"",Прізвище
8799,Серебрянников,Серебрянников,"",Прізвище
8800,Серебрянникова,Серебрянникова,"",Прізвище
8801,Сесар,Сесар,"",Прізвище
8802,Сивак,Сивак,"",Прізвище
8803,Сивкович,Сивкович,"",Прізвище
8804,Сидельников,Сидельников,"",Прізвище
8805,Сидельникова,Сидельникова,"",Прізвище
8806,Сидоренко,Сидоренко,"",Прізвище
8807,Сидорко,Сидорко,"",Прізвище
8808,Сидоров,Сидоров,"",Прізвище
8809,Сидорова,Сидорова,"",Прізвище
8810,Сидорська,Сидорская,"",Прізвище
8811,Сидорчук,Сидорчук,"",Прізвище
8812,Сизоненко,Сизоненко,"",Прізвище
8813,Силенко,Силенко,"",Прізвище
8814,Сильвестров,Сильвестров,"",Прізвище
8815,Сильвестрова,Сильвестрова,"",Прізвище
8816,Симеренко,Симеренко,"",Прізвище
8817,Симиренко,Симиренко,"",Прізвище
8818,Симоненко,Симоненко,"",Прізвище
8819,Симонов,Симонов,"",Прізвище
8820,Симонова,Симонова,"",Прізвище
8821,Синатра,Синатра,"",Прізвище
8822,Синетар,Синетар,"",Прізвище
8823,Синиченко,Синиченко,"",Прізвище
8824,Синько,Синько,"",Прізвище
8825,Сирюк,Сирюк,"",Прізвище
8826,Ситничук,Ситничук,"",Прізвище
8827,Скарбек,Скарбек,"",Прізвище
8828,Скипа,Скипа,"",Прізвище
8829,Скляренко,Скляренко,"",Прізвище
8830,Скляров,Скляров,"",Прізвище
8831,Склярова,Склярова,"",Прізвище
8832,Скок,Скок,"",Прізвище
8833,Скоков,Скоков,"",Прізвище
8834,Скокова,Скокова,"",Прізвище
8835,Скоморовська,Скоморовская,"",Прізвище
8836,Скопенко,Скопенко,"",Прізвище
8837,Скопиченко,Скопиченко,"",Прізвище
8838,Скопненко,Скопненко,"",Прізвище
8839,Скорбун,Скорбун,"",Прізвище
8840,Скоробогатько,Скоробогатько,"",Прізвище
8841,Скоупс,Скоупс,"",Прізвище
8842,Скрипник,Скрипник,"",Прізвище
8843,Скрипниченко,Скрипниченко,"",Прізвище
8844,Скриппс,Скриппс,"",Прізвище
8845,Скуратов,Скуратов,"",Прізвище
8846,Скуратова,Скуратова,"",Прізвище
8847,Следзь,Следзь,"",Прізвище
8848,Слюсаренко,Слюсаренко,"",Прізвище
8849,Слюсарчук,Слюсарчук,"",Прізвище
8850,Сметс,Сметс,"",Прізвище
8851,Смешко,Смешко,"",Прізвище
8852,Смирнов,Смирнов,"",Прізвище
8853,Смирнова,Смирнова,"",Прізвище
8854,Смолинський,Смолинский,"",Прізвище
8855,Смолич,Смолич,"",Прізвище
8856,Смрковська,Смрковская,"",Прізвище
8857,Смрковський,Смрковский,"",Прізвище
8858,Снайдер,Снайдер,"",Прізвище
8859,Снегур,Снегур,"",Прізвище
8860,Сноуден,Сноуден,"",Прізвище
8861,Соареш,Соареш,"",Прізвище
8862,Собакевич,Собакевич,"",Прізвище
8863,Собко,Собко,"",Прізвище
8864,Соботович,Соботович,"",Прізвище
8865,Собчак,Собчак,"",Прізвище
8866,Содерберг,Содерберг,"",Прізвище
8867,Созинов,Созинов,"",Прізвище
8868,Созинова,Созинова,"",Прізвище
8869,Сокирко,Сокирко,"",Прізвище
8870,Соколов,Соколов,"",Прізвище
8871,Соколова,Соколова,"",Прізвище
8872,Сократес,Сократес,"",Прізвище
8873,Сократеш,Сократеш,"",Прізвище
8874,Сокуров,Сокуров,"",Прізвище
8875,Сокурова,Сокурова,"",Прізвище
8876,Солана,Солана,"",Прізвище
8877,Солдатенко,Солдатенко,"",Прізвище
8878,Соловська,Соловская,"",Прізвище
8879,Соловцов,Соловцов,"",Прізвище
8880,Соловцова,Соловцова,"",Прізвище
8881,Сологуб,Сологуб,"",Прізвище
8882,Солошенко,Солошенко,"",Прізвище
8883,Солтан,Солтан,"",Прізвище
8884,Соляник,Соляник,"",Прізвище
8885,Сомко,Сомко,"",Прізвище
8886,Сомоса,Сомоса,"",Прізвище
8887,Сорель,Сорель,"",Прізвище
8888,Соренсен,Соренсен,"",Прізвище
8889,Сорокотяга,Сорокотяга,"",Прізвище
8890,Сорос,Сорос,"",Прізвище
8891,Соссюр,Соссюр,"",Прізвище
8892,Сосюра,Сосюра,"",Прізвище
8893,Сотников,Сотников,"",Прізвище
8894,Сохань,Сохань,"",Прізвище
8895,Сошенко,Сошенко,"",Прізвище
8896,Спаак,Спаак,"",Прізвище
8897,Спенсер,Спенсер,"",Прізвище
8898,Стадников,Стадников,"",Прізвище
8899,Стадникова,Стадникова,"",Прізвище
8900,Стадниченко,Стадниченко,"",Прізвище
8901,Стальська,Сталская,"",Прізвище
8902,Станиш,Станиш,"",Прізвище
8903,Станишев,Станишев,"",Прізвище
8904,Станишева,Станишева,"",Прізвище
8905,Станко,Станко,"",Прізвище
8906,Станкович,Станкович,"",Прізвище
8907,Станковська,Станковская,"",Прізвище
8908,Станчак,Станчак,"",Прізвище
8909,Станькевич,Станькевич,"",Прізвище
8910,Станько,Станько,"",Прізвище
8911,Станюкович,Станюкович,"",Прізвище
8912,Старков,Старков,"",Прізвище
8913,Старкова,Старкова,"",Прізвище
8914,Стародуб,Стародуб,"",Прізвище
8915,Старостенко,Старостенко,"",Прізвище
8916,Старцев,Старцев,"",Прізвище
8917,Старцева,Старцева,"",Прізвище
8918,Старченко,Старченко,"",Прізвище
8919,Старченков,Старченков,"",Прізвище
8920,Старченкова,Старченкова,"",Прізвище
8921,Стасевич,Стасевич,"",Прізвище
8922,Стасенко,Стасенко,"",Прізвище
8923,Стасина,Стасина,"",Прізвище
8924,Стасьо,Стасьо,"",Прізвище
8925,Стасюк,Стасюк,"",Прізвище
8926,Стах,Стах,"",Прізвище
8927,Стаханов,Стаханов,"",Прізвище
8928,Стаханова,Стаханова,"",Прізвище
8929,Стахник,Стахник,"",Прізвище
8930,Стахняк,Стахняк,"",Прізвище
8931,Стахура,Стахура,"",Прізвище
8932,Сташак,Сташак,"",Прізвище
8933,Сташко,Сташко,"",Прізвище
8934,Стащук,Стащук,"",Прізвище
8935,Стебна,Стебна,"",Прізвище
8936,Стебний,Стебний,"",Прізвище
8937,Стейнбек,Стейнбек,"",Прізвище
8938,Стейнвей,Стейнвей,"",Прізвище
8939,Стельмащук,Стельмащук,"",Прізвище
8940,Стендаль,Стендаль,"",Прізвище
8941,Стенмарк,Стенмарк,"",Прізвище
8942,Степаненко,Степаненко,"",Прізвище
8943,Степанков,Степанков,"",Прізвище
8944,Степанкова,Степанкова,"",Прізвище
8945,Степанов,Степанов,"",Прізвище
8946,Степанова,Степанова,"",Прізвище
8947,Степанченко,Степанченко,"",Прізвище
8948,Степанюк,Степанюк,"",Прізвище
8949,Степанян,Степанян,"",Прізвище
8950,Стернер,Стернер,"",Прізвище
8951,Стефаник,Стефаник,"",Прізвище
8952,Стефанишин,Стефанишин,"",Прізвище
8953,Стеценко,Стеценко,"",Прізвище
8954,Стець,Стець,"",Прізвище
8955,Стецько,Стецько,"",Прізвище
8956,Стецюк,Стецюк,"",Прізвище
8957,Стецюра,Стецюра,"",Прізвище
8958,Стешенко,Стешенко,"",Прізвище
8959,Стишак,Стишак,"",Прізвище
8960,Стишов,Стишов,"",Прізвище
8961,Стокс,Стокс,"",Прізвище
8962,Столтенберг,Столтенберг,"",Прізвище
8963,Столяренко,Столяренко,"",Прізвище
8964,Столяров,Столяров,"",Прізвище
8965,Столярова,Столярова,"",Прізвище
8966,Столярчук,Столярчук,"",Прізвище
8967,Стороженко,Стороженко,"",Прізвище
8968,Сторожук,Сторожук,"",Прізвище
8969,Стоун,Стоун,"",Прізвище
8970,Стоян,Стоян,"",Прізвище
8971,Стоянов,Стоянов,"",Прізвище
8972,Стоянова,Стоянова,"",Прізвище
8973,Стражеско,Стражеско,"",Прізвище
8974,Стрельников,Стрельников,"",Прізвище
8975,Стрельникова,Стрельникова,"",Прізвище
8976,Стретович,Стретович,"",Прізвище
8977,Стрижак,Стрижак,"",Прізвище
8978,Стрижало,Стрижало,"",Прізвище
8979,Стрижов,Стрижов,"",Прізвище
8980,Стрижова,Стрижова,"",Прізвище
8981,Строганов,Строганов,"",Прізвище
8982,Строганова,Строганова,"",Прізвище
8983,Строкач,Строкач,"",Прізвище
8984,Стросс-Кан,Стросс-Кан,"",Прізвище
8985,Струенсе,Струенсе,"",Прізвище
8986,Струцинська,Струцинская,"",Прізвище
8987,Струцинський,Струцинский,"",Прізвище
8988,Ступак,Ступак,"",Прізвище
8989,Ступка,Ступка,"",Прізвище
8990,Стурдза,Стурдза,"",Прізвище
8991,Стус,Стус,"",Прізвище
8992,Суарес,Суарес,"",Прізвище
8993,Субтельна,Субтельна,"",Прізвище
8994,Суворов,Суворов,"",Прізвище
8995,Суворова,Суворова,"",Прізвище
8996,Судерев,Судерев,"",Прізвище
8997,Судерева,Судерева,"",Прізвище
8998,Сукарно,Сукарно,"",Прізвище
8999,Сукре,Сукре,"",Прізвище
9000,Сукретний,Сукретний,"",Прізвище
9001,Сулима,Сулима,"",Прізвище
9002,Суллоа,Суллоа,"",Прізвище
9003,Сульт,Сульт,"",Прізвище
9004,Сулятицька,Сулятицкая,"",Прізвище
9005,Сумцов,Сумцов,"",Прізвище
9006,Сумцова,Сумцова,"",Прізвище
9007,Супрун,Супрун,"",Прізвище
9008,Супруненко,Супруненко,"",Прізвище
9009,Супрунюк,Супрунюк,"",Прізвище
9010,Суриков,Суриков,"",Прізвище
9011,Суслов,Суслов,"",Прізвище
9012,Суслова,Суслова,"",Прізвище
9013,Сухарина,Сухарина,"",Прізвище
9014,Суходуб,Суходуб,"",Прізвище
9015,Сухомлин,Сухомлин,"",Прізвище
9016,Сухоруков,Сухоруков,"",Прізвище
9017,Сухорукова,Сухорукова,"",Прізвище
9018,Сушко,Сушко,"",Прізвище
9019,Сущук,Сущук,"",Прізвище
9020,Сфорца,Сфорца,"",Прізвище
9021,Схеффер,Схеффер,"",Прізвище
9022,Сциллард,Сциллард,"",Прізвище
9023,Сюндюков,Сюндюков,"",Прізвище
9024,Сюндюкова,Сюндюкова,"",Прізвище
9025,Сюта,Сюта,"",Прізвище
9026,Таафе,Таафе,"",Прізвище
9027,Табаков,Табаков,"",Прізвище
9028,Табакова,Табакова,"",Прізвище
9029,Табалов,Табалов,"",Прізвище
9030,Табалова,Табалова,"",Прізвище
9031,Табачник,Табачник,"",Прізвище
9032,Табачук,Табачук,"",Прізвище
9033,Табмен,Табмен,"",Прізвище
9034,Табурянська,Табурянская,"",Прізвище
9035,Тагор,Тагор,"",Прізвище
9036,Тадич,Тадич,"",Прізвище
9037,Тайлер,Тайлер,"",Прізвище
9038,Таймазов,Таймазов,"",Прізвище
9039,Таймазова,Таймазова,"",Прізвище
9040,Тайсон,Тайсон,"",Прізвище
9041,Такер,Такер,"",Прізвище
9042,Таланчук,Таланчук,"",Прізвище
9043,Таль,Таль,"",Прізвище
9044,Тальков,Тальков,"",Прізвище
9045,Талькова,Талькова,"",Прізвище
9046,Тальма,Тальма,"",Прізвище
9047,Тангейзер,Тангейзер,"",Прізвище
9048,Танюк,Танюк,"",Прізвище
9049,Тараканова,Тараканова,"",Прізвище
9050,Тараненко,Тараненко,"",Прізвище
9051,Таранченко,Таранченко,"",Прізвище
9052,Тарасевич,Тарасевич,"",Прізвище
9053,Тарасенко,Тарасенко,"",Прізвище
9054,Тарасов,Тарасов,"",Прізвище
9055,Тарасова,Тарасова,"",Прізвище
9056,Тарасюк,Тарасюк,"",Прізвище
9057,Таращенко,Таращенко,"",Прізвище
9058,Таращук,Таращук,"",Прізвище
9059,Тарле,Тарле,"",Прізвище
9060,Тарлев,Тарлев,"",Прізвище
9061,Тарлева,Тарлева,"",Прізвище
9062,Тарута,Тарута,"",Прізвище
9063,Тасман,Тасман,"",Прізвище
9064,Татарченко,Татарченко,"",Прізвище
9065,Татарчук,Татарчук,"",Прізвище
9066,Татищев,Татищев,"",Прізвище
9067,Татищева,Татищева,"",Прізвище
9068,Таунсенд,Таунсенд,"",Прізвище
9069,Тафт,Тафт,"",Прізвище
9070,Тваровська,Тваровская,"",Прізвище
9071,Твен,Твен,"",Прізвище
9072,Тейлор,Тейлор,"",Прізвище
9073,Тейшейра,Тейшейра,"",Прізвище
9074,Теккерей,Теккерей,"",Прізвище
9075,Теличенко,Теличенко,"",Прізвище
9076,Теллер,Теллер,"",Прізвище
9077,Телль,Телль,"",Прізвище
9078,Тельман,Тельман,"",Прізвище
9079,Тельнюк,Тельнюк,"",Прізвище
9080,Тендряков,Тендряков,"",Прізвище
9081,Тендрякова,Тендрякова,"",Прізвище
9082,Тенюх,Тенюх,"",Прізвище
9083,Теодоровська,Теодоровская,"",Прізвище
9084,Теодоровський,Теодоровский,"",Прізвище
9085,Теппер,Теппер,"",Прізвище
9086,Тер-Петросян,Тер-Петросян,"",Прізвище
9087,Теренс,Теренс,"",Прізвище
9088,Терехов,Терехов,"",Прізвище
9089,Терехова,Терехова,"",Прізвище
9090,Терешко,Терешко,"",Прізвище
9091,Терешков,Терешков,"",Прізвище
9092,Терешкова,Терешкова,"",Прізвище
9093,Терещенко,Терещенко,"",Прізвище
9094,Терещук,Терещук,"",Прізвище
9095,Термен,Термен,"",Прізвище
9096,Тернер,Тернер,"",Прізвище
9097,Терпило,Терпило,"",Прізвище
9098,Терренс,Терренс,"",Прізвище
9099,Тесла,Тесла,"",Прізвище
9100,Тесленко,Тесленко,"",Прізвище
9101,Теффт,Теффт,"",Прізвище
9102,Техадо,Техадо,"",Прізвище
9103,Тимашов,Тимашов,"",Прізвище
9104,Тимашова,Тимашова,"",Прізвище
9105,Тимошенко,Тимошенко,"",Прізвище
9106,Тимощук,Тимощук,"",Прізвище
9107,Тимченко,Тимченко,"",Прізвище
9108,Тимчишин,Тимчишин,"",Прізвище
9109,Титаренко,Титаренко,"",Прізвище
9110,Титенко,Титенко,"",Прізвище
9111,Титов,Титов,"",Прізвище
9112,Титова,Титова,"",Прізвище
9113,Тихонов,Тихонов,"",Прізвище
9114,Тихонова,Тихонова,"",Прізвище
9115,Тищенко,Тищенко,"",Прізвище
9116,Ткаченко,Ткаченко,"",Прізвище
9117,Ткачук,Ткачук,"",Прізвище
9118,Тлумак,Тлумак,"",Прізвище
9119,Товстоногов,Товстоногов,"",Прізвище
9120,Товстоногова,Товстоногова,"",Прізвище
9121,Товстюк,Товстюк,"",Прізвище
9122,Тодоренко,Тодоренко,"",Прізвище
9123,Тодоров,Тодоров,"",Прізвище
9124,Тодорова,Тодорова,"",Прізвище
9125,Тодоровська,Тодоровская,"",Прізвище
9126,Тодорук,Тодорук,"",Прізвище
9127,Токаренко,Токаренко,"",Прізвище
9128,Токарчук,Токарчук,"",Прізвище
9129,Токарюк,Токарюк,"",Прізвище
9130,Толкунов,Толкунов,"",Прізвище
9131,Толкунова,Толкунова,"",Прізвище
9132,Толокевич,Толокевич,"",Прізвище
9133,Толочко,Толочко,"",Прізвище
9134,Толстой,Толстой,"",Прізвище
9135,Толстоухов,Толстоухов,"",Прізвище
9136,Толстоухова,Толстоухова,"",Прізвище
9137,Томащук,Томащук,"",Прізвище
9138,Томенко,Томенко,"",Прізвище
9139,Томпсон,Томпсон,"",Прізвище
9140,Томсен,Томсен,"",Прізвище
9141,Томсон,Томсон,"",Прізвище
9142,Тонкаль,Тонкаль,"",Прізвище
9143,Тооме,Тооме,"",Прізвище
9144,Топалов,Топалов,"",Прізвище
9145,Топалова,Топалова,"",Прізвище
9146,Топачевська,Топачевская,"",Прізвище
9147,Тополанек,Тополанек,"",Прізвище
9148,Тополов,Тополов,"",Прізвище
9149,Тополова,Тополова,"",Прізвище
9150,Торвальдсен,Торвальдсен,"",Прізвище
9151,Торжевська,Торжевская,"",Прізвище
9152,Торич,Торич,"",Прізвище
9153,Торквемада,Торквемада,"",Прізвище
9154,Торрес,Торрес,"",Прізвище
9155,Тотлебен,Тотлебен,"",Прізвище
9156,Трайковська,Трайковская,"",Прізвище
9157,Трамп,Трамп,"",Прізвище
9158,Трахтенберг,Трахтенберг,"",Прізвище
9159,Трач,Трач,"",Прізвище
9160,Траченко,Траченко,"",Прізвище
9161,Трачук,Трачук,"",Прізвище
9162,Траян,Траян,"",Прізвище
9163,Трегуб,Трегуб,"",Прізвище
9164,Трегубов,Трегубов,"",Прізвище
9165,Трегубова,Трегубова,"",Прізвище
9166,Трескунов,Трескунов,"",Прізвище
9167,Трескунова,Трескунова,"",Прізвище
9168,Третьяков,Третьяков,"",Прізвище
9169,Третьякова,Третьякова,"",Прізвище
9170,Тригубов,Тригубов,"",Прізвище
9171,Тригубова,Тригубова,"",Прізвище
9172,Тримайвода,Тримайвода,"",Прізвище
9173,Тримбач,Тримбач,"",Прізвище
9174,Тронько,Тронько,"",Прізвище
9175,Трофименко,Трофименко,"",Прізвище
9176,Троценко,Троценко,"",Прізвище
9177,Трощенко,Трощенко,"",Прізвище
9178,Трусевич,Трусевич,"",Прізвище
9179,Трусеньов,Трусеньов,"",Прізвище
9180,Трусеньова,Трусеньова,"",Прізвище
9181,Трутенко,Трутенко,"",Прізвище
9182,Труфяков,Труфяков,"",Прізвище
9183,Труфякова,Труфякова,"",Прізвище
9184,Труханов,Труханов,"",Прізвище
9185,Труханова,Труханова,"",Прізвище
9186,Труш,Труш,"",Прізвище
9187,Трясило,Трясило,"",Прізвище
9188,Туджман,Туджман,"",Прізвище
9189,Тулуз-Лотрек,Тулуз-Лотрек,"",Прізвище
9190,Туманян,Туманян,"",Прізвище
9191,Тупиков,Тупиков,"",Прізвище
9192,Туптало,Туптало,"",Прізвище
9193,Турищев,Турищев,"",Прізвище
9194,Турищева,Турищева,"",Прізвище
9195,Турсунзаде,Турсунзаде,"",Прізвище
9196,Турчак,Турчак,"",Прізвище
9197,Турчин,Турчин,"",Прізвище
9198,Турчинов,Турчинов,"",Прізвище
9199,Турчинова,Турчинова,"",Прізвище
9200,Турянчик,Турянчик,"",Прізвище
9201,Туск,Туск,"",Прізвище
9202,Туссен-Лувертюр,Туссен-Лувертюр,"",Прізвище
9203,Тутковська,Тутковская,"",Прізвище
9204,Тухманов,Тухманов,"",Прізвище
9205,Тухманова,Тухманова,"",Прізвище
9206,Тюдор,Тюдор,"",Прізвище
9207,Тюрен,Тюрен,"",Прізвище
9208,Тютчев,Тютчев,"",Прізвище
9209,Тютчева,Тютчева,"",Прізвище
9210,Уайльд,Уайльд,"",Прізвище
9211,Уайт,Уайт,"",Прізвище
9212,Убийвовк,Убийвовк,"",Прізвище
9213,Уборевич,Уборевич,"",Прізвище
9214,Уваров,Уваров,"",Прізвище
9215,Уварова,Уварова,"",Прізвище
9216,Угаров,Угаров,"",Прізвище
9217,Угарова,Угарова,"",Прізвище
9218,Удовенко,Удовенко,"",Прізвище
9219,Уланова,Уланова,"",Прізвище
9220,Ульберг,Ульберг,"",Прізвище
9221,Ульбрихт,Ульбрихт,"",Прізвище
9222,Ульстен,Ульстен,"",Прізвище
9223,Ульяненко,Ульяненко,"",Прізвище
9224,Ульянов,Ульянов,"",Прізвище
9225,Ульянова,Ульянова,"",Прізвище
9226,Ульянченко,Ульянченко,"",Прізвище
9227,Упеник,Упеник,"",Прізвище
9228,Усатенко,Усатенко,"",Прізвище
9229,Усатюк,Усатюк,"",Прізвище
9230,Усенко,Усенко,"",Прізвище
9231,Усик,Усик,"",Прізвище
9232,Усиков,Усиков,"",Прізвище
9233,Усикова,Усикова,"",Прізвище
9234,Усманов,Усманов,"",Прізвище
9235,Усманова,Усманова,"",Прізвище
9236,Усов,Усов,"",Прізвище
9237,Усова,Усова,"",Прізвище
9238,Успасських,Успасських,"",Прізвище
9239,Устинов,Устинов,"",Прізвище
9240,Устинова,Устинова,"",Прізвище
9241,Ушаков,Ушаков,"",Прізвище
9242,Ушакова,Ушакова,"",Прізвище
9243,Ушкалов,Ушкалов,"",Прізвище
9244,Ушкалова,Ушкалова,"",Прізвище
9245,Фабер,Фабер,"",Прізвище
9246,Фабр,Фабр,"",Прізвище
9247,Файнберг,Файнберг,"",Прізвище
9248,Файнман,Файнман,"",Прізвище
9249,Файнмен,Файнмен,"",Прізвище
9250,Фалес,Фалес,"",Прізвище
9251,Фаллада,Фаллада,"",Прізвище
9252,Фальк,Фальк,"",Прізвище
9253,Фалькевич,Фалькевич,"",Прізвище
9254,Фалько,Фалько,"",Прізвище
9255,Фальконе,Фальконе,"",Прізвище
9256,Фарадей,Фарадей,"",Прізвище
9257,Фарнезе,Фарнезе,"",Прізвище
9258,Фарук,Фарук,"",Прізвище
9259,Фаст,Фаст,"",Прізвище
